Offense #,Date,Day,Time,Day_Part,Location/Address,Premise,In_out,Call_Type,Race_subj,Race_color,Gender_subj,Age_subj,Injuries_subj,Weapon_subj,Ofc_present,no_ofc_shooters,Officer_Name,Rank_ofc,Race_ofc,Gender_ofc,Age_ofc,Jurisdiction,LE_Experience,Caliber_ofc,Weapon_ofc,Shots_ofc,Hits,How_Cleared,Location_1,Latitude,Longitude
"13-5021565
13-1370254",5/17/13 0:00,Fri,3:27,Night,6855 E US 290 Hwy ,Yard/Courtyard,Outside,shots fired,White,'#FOF',Male,26,None,gun,3,1,Ofc. Robert Barger,ofc,White,Male,45,APD,2,0.4,semi-auto,1,0,No Billed by Grand Jury,"6855 E US 290 Hwy
Austin, TX
",30.2332851,-97.8720017
"13-5033792
13-2071392",7/26/13 0:00,Fri,16:10,Evening,3500 CRAWFORD AVE Austin Texas,Under Bridge,Outside,onscene,Black,'#F00',Male,32,killed,none,1,1,"Det. Charles ""Trey"" Kleinert",det,White,Male,49,APD,19,0.4,semi-auto,1,1,True Billed on 5/12/2014 (pending further),"3500 CRAWFORD AVE
Austin, TX
",30.3068268,-97.7499249
"12-5016942
12-0961610",4/5/12 0:00,Thur,18:40,Evening,5200 Block Overbrook Dr,Yard/Courtyard,Outside,traffic stop,Black,'#F00',Male,35,killed,mic cord,1,1,Ofc. Eric Copeland,ofc,White,Male,36,APD,2,0.4,semi-auto,3,3,No Billed by Grand Jury,"5200 Block Overbrook Dr
Austin, TX
",30.2984904,-97.6848982
"12-5043966
12-2691696",9/25/12 0:00,Tues,20:39,Evening,2915 S IH 35 Svrd NB,Parking Lot,Outside,stolen vehicle,White,'#FOF',Male,42,killed,gun,2,1,Ofc. George Blanch,ofc,White,Male,36,APD,8,0.4,semi-auto,6,1,No Billed by Grand Jury,"2915 S IH 35
Austin, TX
",30.226682,-97.7438346
"12-5047326
12-2940313",10/20/12 0:00,Sat,2:10,Night,300 Blk E 6th St,Street,Outside,onscene,Black,'#F00',Female,24,None,vehicle,3,1,Ofc. Robert Krummel,ofc,White,Male,27,APD,3,0.4,semi-auto,4,0,No Billed by Grand Jury,"300 Blk E 6th St
Austin, TX
",30.2675403,-97.740159
"11-5028251
11-1502313",5/30/11 0:00,Mon,23:07,Night,800 Block E 8th St,Street,Outside,suspicious person/call,Black,'#F00',Male,20,killed,vehicle,2,1,Ofc. Nathan Wagner,ofc,White,Male,28,APD,3,0.4,semi-auto,5,4,No Billed by Grand Jury,"800 Block E 8th St
Austin, TX
",30.2675049,-97.7335121
"11-5028251
11-1502313",5/30/11 0:00,Mon,23:07,Night,800 Block E 8th St,Street,Outside,suspicious person/call,Black,'#F00',Male,16,shot (injured only),vehicle,2,1,Ofc. Nathan Wagner,ofc,White,Male,0,APD,3,0.4,semi-auto,5,4,No Billed by Grand Jury,"800 Block E 8th St
Austin, TX
",30.2675049,-97.7335121
"11-5060110
11-3621220",12/28/11 0:00,Wed,17:19,Evening,7800 N IH 35 Svrd SB,Parking Lot,Outside,narcotics,Black,'#F00',Male,32,None,vehicle,4,1,Det. Tom Hugonnett,det,White,Male,44,APD,18,0.4,semi-auto,2,0,No Billed by Grand Jury,"7800 N IH 35
Austin, TX
",30.3405844,-97.7003673
07-3110298,11/7/07 0:00,Wed,4:29,Night,4509 E St Elmo Apt 3304,Residence,Inside,hostage/barricade,White,'#FOF',Male,37,shot (injured only),gun,2,1,Ofc. James Alexander,ofc,White,Male,39,APD,9,0.308,rifle,2,1,No Billed by Grand Jury,"4509 E St Elmo Apt 3304
Austin, TX
",30.2051583,-97.7380631
06-0151964,1/15/06 0:00,Sun,22:22,Night,500 Block E 9th St,Street,Outside,robbery,Black,'#F00',Male,20,None,gun,1,1,Ofc. James Harvel,ofc,White,Male,31,APD,5,0.4,semi-auto,1,1,not presented to grand jury (DA declined),"500 Block E 9th St
Austin, TX
",30.2695941,-97.7371944
06-5007317,2/8/06 0:00,Wed,14:30,Evening,213 Loesch Dr,Residence,Outside,warrant,White,'#FOF',Male,47,shot (injured only),vehicle,3,2,Ofc. Robert Soto,ofc,Hispanic,Male,36,APD,9,0.4,semi-auto,1,2,unk - TX Rangers and Elgin PD investigated incident,"213 Loesch Dr
Austin, TX
",30.3578062,-97.3837562
06-5007317,2/8/06 0:00,Wed,14:30,Evening,213 Loesch Dr,Residence,Outside,warrant,White,'#FOF',Male,47,shot (injured only),vehicle,3,2,Ofc. Christopher Limmer,ofc,White,Male,36,APD,11,0.4,semi-auto,1,,unk - TX Rangers and Elgin PD investigated incident,"213 Loesch Dr
Austin, TX
",30.3578062,-97.3837562
05-1602072,6/9/05 0:00,Thur,23:02,Night,5100 Block Quicksilver Blvd,Street,Outside,traffic stop,Hispanic,'#0F0',Male,18,killed,physical force,3,1,Ofc. Julie Schroeder,ofc,White,Female,36,APD,7,9mm,semi-auto,1,1,No Billed by Grand Jury,"5100 Block Quicksilver Blvd
Austin, TX
",30.1728359,-97.7534789
03-921650184,6/14/03 0:00,Sat,1:27,Night,1700 Block Tillery St,Street,Outside,stolen vehicle,Black,'#F00',Male,20,killed,vehicle,1,1,Ofc. Scott Glasgow,ofc,White,Male,29,APD,3,0.4,semi-auto,6,5,True Billed - Indicted for crim. neg. homicide. Dismissed by D.A.,"1700 Block Tillery St
Austin, TX
",30.2806504,-97.7012636
